date,title,link,desc/0,desc/1,desc/2,desc/3,desc/4,desc/5,desc/6,desc/7,desc/8,desc/9,desc/10,desc/11,desc/12,desc/13,desc/14,desc/15,desc/16,desc/17,desc/18,desc/19,desc/20,desc/21,desc/22,desc/23,desc/24,desc/25,desc/26,desc/27,desc/28,desc/29,desc/30,desc/31,desc/32,desc/33,desc/34,desc/35,desc/36,desc/37,desc/38,desc/39,desc/40,desc/41,desc/42,desc/43,desc/44,desc/45,desc/46,desc/47,desc/48,desc/49,desc/50,desc/51,desc/52
"Sabtu, 15 Feb 2020 16:13 WIB","WNI Karantina dari Natuna Tiba di Lanud Halim, Dibekali Sertifikat",https://health.detik.com/berita-detikhealth/d-4900556/wni-karantina-dari-natuna-tiba-di-lanud-halim-dibekali-sertifikat?tag_from=news_beritaTerkait,Sebanyak 238 ,"yang dikarantina selama 14 hari di Natuna karena kekhawatiran virus corona telah tiba di Landasan Udara Halim Perdanakusuma, Jakarta Timur, Sabtu (15/2/2020) pukul 15.30 WIB. Kedatangan para WNI ini disambut oleh pejabat daerah dan keluarga yang sudah beberapa jam menunggu.",Menteri Kesehatan Terawan Agus Putranto mengatakan para WNI tiba di Jakarta menggunakan tiga pesawat. Wanita dan anak-anak menumpang pesawat Boeing 737 sementara pria menumpang pesawat Hercules.,"""Saya baru saja mendarat bersama rombongan pertama tadi mengangkut 100-an orang... Mereka semua dalam keadaan sehat, jadi tadi saya bersama mereka satu pesawat,"" kata Menkes Terawan pada media di Lanud Halim, Sabtu (15/2/2020).",Rencananya para WNI dari, ini akan diserahkan ke pejabat daerah asal sebelum dikembalikan ke keluarga mereka. Kementerian Kesehatan juga membekali para WNI dengan sertifikat untuk membuktikan status kesehatannya.,"""Kami lengkapi juga dengan sertifikat kesehatan dia dari hasil pemeriksaan, pemantauan selama masa observasi,"" lanjut Menkes ",.,"Sebelumnya para WNI ini dievakuasi dari pusat wabah virus corona di Wuhan, China, pada 2 Februari lalu. Mereka telah lolos skrining kesehatan sebelum kembali namun prosedur standar dari Organisasi Kesehatan Dunia (WHO) mengharuskan karantina selama 14 hari untuk memastikan masa inkubasi virus telah lewat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabu, 12 Feb 2020 20:00 WIB",KPAI Tuding Vape Bikin Jumlah Perokok Usia Anak Meningkat,https://health.detik.com/berita-detikhealth/d-4896855/kpai-tuding-vape-bikin-jumlah-perokok-usia-anak-meningkat,"Riset Kesehatan Dasar (Riskesdas) pada tahun 2018 menunjukkan bahwa sekitar 7,8 juta anak Indonesia, dari usia 10-18 tahun merupakan ",. ,"Tentu hal tersebut sangat mengkhawatirkan, terlebih saat ini ", elektrik atau kerap disebut , sudah mulai digandrungi oleh anak-anak. Lantas apakah jumlah perokok anak di Indonesia akan terus meningkat?,"""Bukan bisa lagi, tapi sangat bisa apalagi dengan kampanye bahwa vape itu lebih aman dibandingkan dengan rokok konvensional, itu betul-betul penyesatan dan pembodohan yang harus kita hilangkan,"" kata Dr Sitti Hikmawatty, dari Komisi Perlindungan Anak Indonesia (KPAI), pada Rabu (12/2/2020).",Sitti pun dengan tegas mengatakan bahwa apa pun yang mengandung zat adiktif sebaiknya dihindari.,"""Apa pun itu yang zat adiktif ya tinggalin, itu kan zat adiktif. Makanya kami tidak bisa memahami, kenapa zat racun kok diiklankan?,"" tegas Sitti.","Di kesempatan yang sama, Lisda Sundari, ketua Yayasan Lentera Anak, juga mengatakan bahwa anggapan vape lebih baik daripada rokok konvensional lah yang membuat ", penasaran untuk mencoba produk tersebut.,"""Sehingga anak-anak merasa lebih aman saja melakukannya, padahal tidak,"" ucap Lisda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 13 Feb 2020 20:30 WIB",Jumlah Perokok Pemula di Indonesia Naik 240 Persen! Ini Penyebabnya,https://health.detik.com/berita-detikhealth/d-4898429/jumlah-perokok-pemula-di-indonesia-naik-240-persen-ini-penyebabnya," sampai saat ini masih menjadi permasalahan di Indonesia. Bahkan bukannya berkurang, jumlah ", pemula justru terus meningkat setiap tahunnya.,"Ketua badan khusus pengendalian tembakau Ikatan Ahli Kesehatan Masyarakat (IAKMI), dr Widyastuti Soerojo, MSC, mengatakan bahwa dalam satu dekade terakhir jumlah perokok pemula meningkat hingga 240 persen.","""Dalam satu dekade terakhir peningkatannya 240 persen, dari 9,6 persen tahun 2007 menjadi 23,1 persen tahun 2018. Jadi dalam 11 tahun itu peningkatannya 240 persen pada usia SD, SMP 10-14 tahun. Usia yang lebih tua 15-19 naiknya 140 persen,"" kata dr Widyastuti, pada Rabu (12/2/2020).",dr Widyastuti juga menjelaskan salah satu faktor penyebab dari tingginya angka perokok pemula adalah masifnya iklan rokok di masyarakat.,"""Karena iklan yang masif, aksesnya mudah, harganya murah dan dan bisa beli batangan,"" pungkasnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senin, 18 Nov 2019 11:20 WIB","Agar Lekas Sembuh, Ini Cara Tangani Diabetes dengan Tepat",https://health.detik.com/berita-detikhealth/d-4788560/agar-lekas-sembuh-ini-cara-tangani-diabetes-dengan-tepat,Menangani ," tentunya membutuhkan perjuangan yang ekstra. Namun, hasil dari upaya ini akan sepadan pada keberlangsungan kesehatan kita ke depannya. Lebih jauh lagi, risiko terkena berbagai komplikasi diabetes, seperti serangan jantung, gagal ginjal bahkan stroke juga akan menurun.","Oleh karena itu, menjaga kadar gula darah tetap dalam batas normal menjadi hal yang harus diutamakan. Meski kedengarannya sulit, pengidap diabetes bisa mengikuti langkah terapi sederhana agar dapat menangani penyakit ini dengan baik. Lantas apa saja langkah terapi tersebut?","Menurut Head of Medical Kalbe Nutritionals dr Muliaman Mansyur ada empat pilar dalam penatalaksanaan terapi diabetes mellitus ini. Di antaranya, pengaturan pola makan, aktivitas fisik, edukasi, serta terapi farmakologis (obat dan insulin).","""Pengaturan pola makan dan aktivitas fisik merupakan first line therapy dalam penatalaksanaan terapi diabetes mellitus ini. Kurangi asupan makanan yang tinggi gula dan lemak karena ini dapat cepat meningkatkan kadar gula darah dalam tubuh,"" ujarnya kepada detikHealth baru-baru ini.","""Bahkan, American Diabetes Association menyarankan karbohidrat untuk penderita diabetes yang aman untuk dikonsumsi adalah sekitar 45-60 gram per kali makan, atau sebanyak 135-180 gram karbohidrat per hari,"" imbuhnya.","Terapi selanjutnya, kata dr Muliaman, adalah mengubah pola hidup untuk lebih aktif. Misalnya dalam melakukan aktivitas sehari-hari maupun rekreasi seperti membatasi penggunaan kendaraan bermotor dan memilih aktif berjalan kaki atau bersepeda.","""(Bagi pengidap diabetes) jangan banyak duduk tapi banyak bergerak melakukan olahraga exercise rutin 30 menit sehari atau 150 jam/minggu itu lebih baik. Usahakan hindari olahraga yang tidak berisiko benturan karena harus menghindari luka,"" terangnya.","Terakhir, kombinasi antara terapi nutrisi medis, diet rendah indeks glikemik, tinggi serat ditambah dengan obat-obatan juga akan membantu dalam menjaga kadar gula darah lebih stabil. Jika gula darah stabil itu dapat membantu mengurangi risiko komplikasi.","Karena itu, penyandang diabetes disarankan mengkonsumsi susu Diabetasol dengan kandungan vita digest pro dan indeks glikemik rendah. Diabetasol merupakan meal replacement yang dapat digunakan sebagai alternatif pengganti makan pagi dan snack malam dengan nutrisi lengkap. Setiap porsinya mampu mencukupi kebutuhan kalori 260 kkal. Sehingga asupan nutrisi Anda terjaga, dan gula darah tetap terkontrol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 27 Feb 2020 16:12 WIB",Cara Praktis Penuhi Kebutuhan Serat Harian di Tengah Aktivitas Padat,https://health.detik.com/berita-detikhealth/d-4917229/cara-praktis-penuhi-kebutuhan-serat-harian-di-tengah-aktivitas-padat,"Serat menjadi salah satu asupan yang penting dikonsumsi sehari-hari karena bisa membantu melancarkan sistem pencernaan. Bahkan serat juga berfungsi sebagai pengikat lemak, gula, dan kolesterol dari makanan yang dikeluarkan melalui kotoran.","Medical Marketing Manager Kalbe Nutritionals dr Adeline menjelaskan jumlah serat asupan serat yang optimal bervariasi berdasarkan jenis kelamin, usia, dan status kehamilan seseorang. Namun, Akademi Nutrisi dan Diet di Amerika merekomendasikan 25 gram per hari untuk wanita dewasa, 38 gram serat per hari untuk pria dewasa.","""Untuk mereka yang telah berusia 50 tahun disarankan (mengonsumsi serat) 21 gram khusus wanita dan 30 gram bagi pria. Kemudian, wanita hamil atau menyusui setidaknya 28 gram serat per hari,"" jelas dr Adeline kepada detikHealth, baru-baru ini.","Namun sayangnya, berdasarkan data dari Badan Penelitian dan Pengembangan Kesehatan, pada tahun 2013 penduduk Indonesia di atas 10 tahun sebanyak 93,5% di antaranya tidak mengonsumsi sayur dan buah. Di mana 9 dari 10 penduduk Indonesia (usia lebih dari 10 tahun) hanya mengonsumsi 7 gram serat per hari.","Padahal, banyak sekali manfaat serat untuk tubuh kita. Serat akan berpengaruh pada pemakaian glukosa, sekresi insulin dan pemakaian glukosa oleh sel hati. Kita harus memperbanyak mengonsumsi serat yang juga akan membantu tubuh dalam menyerap kolesterol jahat dan menyerap racun yang terdapat dalam makanan.","""Serat makanan berpengaruh dapat mengikat kolesterol dan asam empedu sehingga berpengaruh pada sirkulasi enterohepatik kolesterol. Dalam usus besar, serat dapat dimetabolisme oleh bakteri kolon dan dapat menghasilkan asam lemak rantai pendek yang dapat menghambat mobilisasi asam lemak dan mengurangi glukoneogenesis,"" jelasnya.","Adapun sumber serat, lanjut dr Adeline bisa didapatkan dari makanan seperti sayuran dan buah yang kita makan atau disebut serat kasar (crude fiber). Selain serat kasar, terdapat juga serat makanan yang tidak hanya terdapat pada sayur dan buah, tetapi juga ada dalam makanan lain misalnya beras, kentang, kacang-kacangan dan umbi-umbian. Serat dalam makanan umumnya disebut sebagai dietary fiber yang sangat baik untuk kesehatan manusia.","Karena itu, mulailah dengan cara menambah porsi sayur dan buah ke dalam piring makan untuk mencukupi kebutuhan serat agar saluran pencernaan manusia bekerja lebih optimal. Meski begitu, rutin mengonsumsi buah dan sayur bukan berarti asupan serat sudah terpenuhi dengan baik.","Misalnya 1 buah pisang dapat mengandung 2,63 gram. Sementara jeruk 3,14 gram, apel 3,3 gram, 1 mangkuk pepaya 2,52 gram, 1 iris semangka 0,8 gram, 1 iris melon 0,5 gram, dan jambu biji mengandung 5,4 gram.","Namun seringkali asupan serat terlupakan, terutama bagi yang memiliki aktivitas padat. Karena itu cara lainnya untuk memenuhi asupan serat dengan cara yang praktis dan nikmat adalah mengonsumsi Nutrive FiberShot.","Minuman tinggi serat ini diformulasikan mengandung 16 sari buah dan sayur untuk membantu memelihara saluran pencernaan. Buah dan sayur yang dipilih tidak hanya mengandung serat, namun vitamin dan mineral bagi kesehatan tubuh. Dengan mengonsumsi 2 botol Nutrive FiberShot dapat membantu memenuhi kebutuhan serat hingga 10 gram sehingga dapat membantu menjaga fungsi pencernaan tubuh kita.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senin, 02 Mar 2020 14:20 WIB",Cegah Virus dan Bakteri Bisa Dimulai dari Kebersihan Dapur,https://health.detik.com/berita-detikhealth/d-4921815/cegah-virus-dan-bakteri-bisa-dimulai-dari-kebersihan-dapur,"Dapur merupakan salah satu area rumah yang paling rentan menjadi tempat bersarangnya kuman. Banyaknya aktivitas di tempat ini kadang membuat kita kurang memperhatikan kebersihan dan higienitasnya. Kebersihan dapur tentu akan menentukan kualitas makanan yang disajikan menjadi lebih aman dan sehat, sehingga dapat membantu mengurangi risiko penyebaran virus.","Menurut Dosen Teknologi Pangan di Indonesia International Institute for Life-Sciences (i3L), Muhamad Abdurrahman Mas, menjaga kebersihan diri dan dapur, serta memasak makanan jadi salah satu cara untuk meminimalisir penyebaran virus. Ada beberapa cara mengatur dapur agar terbebas dari risiko penyebaran virus, meskipun memang setiap penyakit memiliki cara penyebaran yang berbeda-beda.","Pertama, makanan itu sendiri dapat menjadi salah satu perantara penyebaran beberapa penyakit (tetapi tidak semua). Selain itu, peralatan makan yang digunakan oleh orang sakit harus dipastikan bersih sebelum digunakan lagi untuk meminimalisir penyebaran penyakit.","""Terdapat 4 faktor di dapur yang dapat menyebabkan seseorang sakit yakni makanan, peralatan dapur, lingkungan dapur dan orang yang berada di dapur. Salah satu maupun semua faktor tersebut dapat menyebabkan penyakit, bergantung pada jenis penyakitnya. Penyebaran penyakit dapat dicegah salah satunya dengan cara memperhatikan kebersihan diri sendiri dan kebersihan WC/ kamar mandi terutama di area dekat dengan dapur,"" jelas Muhamad kepada detikHealth, Senin (2/3/2020). ","Kemudian, untuk menjaga dapur tetap bersih dan terbebas dari penyebaran penyakit, hal lain yang harus diperhatikan adalah makanan mentah. Jangan sampai makanan mentah disimpan di tempat yang sama dengan makanan yang matang, begitu pula dengan daging mentah tidak seharusnya disimpan di tempat yang sama dengan sayuran.","""Letak dapur juga seharusnya jauh dari kamar mandi dan tempat pembuangan sampah karena tempat tersebut bisa menjadi sumber bakteri, virus serta binatang seperti tikus atau kecoa yang dapat dengan mudah berkeliaran di antara tempat pembuangan sampah dan dapur,"" jelasnya.","Selain itu, masih banyak hal-hal yang perlu diatur dari berbagai aspek yang menyangkut dengan dapur. Jika Anda ingin membuat dapur bersih dan tentunya akan terasa nyaman, coba ikuti workshop tentang Kitchen Management & Operation. Workshop yang digelar oleh di kampus i3L di Pulomas Barat Kav. 88 Jakarta yang akan berlangsung pada Rabu (4/3/2020). Akan ada narasumber profesional, baik kalangan chef, akademisi, hingga manajemen hotel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabtu, 29 Feb 2020 10:02 WIB","Cegah Virus Corona, Perhatikan Ini untuk Tingkatkan Daya Tahan Tubuh",https://health.detik.com/berita-detikhealth/d-4919555/cegah-virus-corona-perhatikan-ini-untuk-tingkatkan-daya-tahan-tubuh,"Virus corona COVID-19 masih mewabah di dunia dengan merenggut korban jiwa yang kini masih terus bertambah. Agar terhindar dari virus corona yang mewabah, setiap orang disarankan untuk meningkatkan daya tahan tubuh.","Sistem imun dan sel-sel darah putih bekerja sama untuk melawan infeksi virus. Sel darah putih diproduksi di tulang sumsum, dengan jumlah normal di antara 5.000-10.000 per mikroliter darah. Jika sel darah putih kurang dari 3.500, maka tubuh dalam kondisi yang dinamakan neutropenia atau sel darah putih menurun dan berakibat tubuh sulit melawan bakteri.","Medical Manager Consumer Health Division PT Kalbe Farma, dr Helmin Agustina Silalahi mengatakan untuk berfungsi dengan baik dan optimal, sistem kekebalan tubuh harus dapat mendeteksi berbagai agen mikroorganisme, seperti virus, bakteri, atau parasit. Selain itu, sistem imun juga harus dapat membedakan benda asing dari jaringan sehat.","""Mikroorganisme yang masuk tidak serta merta dapat menimbulkan penyakit pada tubuh jika pertahanan tubuh kuat dan mampu mengeliminasi mikroorganisme yang masuk,"" tegas dr Helmin kepada detikHealth, baru-baru ini.","Sistem kekebalan tubuh adalah pertahanan terbaik terhadap penyakit menular. Karenanya, sistem kekebalan tubuh harus dijaga agar tetap dalam kondisi optimal dengan pola hidup sehat seperti tidak merokok, rajin berolahraga, mempertahankan berat badan ideal, hingga mengelola tingkat stres dan tekanan darah Anda.","""Lakukan medical check up secara rutin untuk deteksi dini berbagai penyakit, sehingga dapat diatasi dengan cepat,"" ucapnya.","Selain itu, asupan nutrisi yang seimbang jika diimplementasikan dalam menu sehari-hari dapat mencukupi untuk terpenuhinya kebutuhan tubuh. ","Penuhi kebutuhan sehari-hari dengan makan diet tinggi serat seperti buah-buahan, sayuran, dan biji-bijian, serta rendah lemak jenuh.","Namun ternyata tidak mudah untuk menerapkan sedemikian, sehingga diperlukan suplemen untuk memenuhi nutrisi harian yang tidak dapat dicukupkan dari asupan sehari-hari. Jika Anda merasa setiap hari makanan dan minuman kurang mengandung vitamin atau antioksidan, Anda bisa mengambil manfaat vitamin dari suplemen multivitamin. Konsumsi multivitamin dapat memenuhi kebutuhan harian yang tidak dapat dipenuhi dari nutrisi sehari-hari.",Salah satu multivitamin yang bisa mendukung sistem kekebalan tubuh dan membuat tubuh tetap fit adalah Fatigon. Anda bisa konsumsi Fatigon Spirit sebelum beraktivitas yang mengandung Nano Ginseng Extract untuk stamina tubuh dan L-Carnitine untuk menghasilkan energi.,"Selain itu setelah beraktivitas, Anda bisa konsumsi Fatigon Multivitamin dan Mineral yang mengandung vitamin B untuk pemulihan energi dan kalium serta magnesium aspartat untuk menguraikan asam laktat penyebab pegal dan otot kaku.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 28 Feb 2020 17:53 WIB","Cegah Penularan Virus, Ini Etika Batuk yang Perlu Diperhatikan",https://health.detik.com/berita-detikhealth/d-4918933/cegah-penularan-virus-ini-etika-batuk-yang-perlu-diperhatikan,"Baru-baru ini dalam sebuah video CCTV yang beredar, tampak seorang pria batuk hingga kolaps di pusat perbelanjaan Canary Wharf, di London, hingga dicurigai virus corona. Meski begitu, belum ada bukti yang pasti terkait hubungan pria tersebut dengan dugaan virus corona baru.","Terkait virus corona atau COVID-19, memang dapat menyebar seperti virus influenza pada umumnya. Virus ini dapat menyebar lewat udara dengan cairan batuk atau bersin.","""Penyebaran COVID-19 ini sama dengan virus lainnya yaitu lewat udara melalui percikan dahak yang dikeluarkan oleh penderita. Namun, Organisasi Kesehatan Dunia (WHO) sendiri masih tetap mendalami dan mempelajari segala sesuatu tentang virus ini, dan akan selalu diinformasikan jika ada temuan baru,"" jelas Medical Manager Consumer Health Division PT Kalbe Farma, dr Helmin Agustina Silalahi kepada detikHealth, baru-baru ini.","Saat seseorang batuk, virus dapat menular setiap saat dan menular dengan cepat, bahkan dalam jarak tertentu dapat menyebar lebih jauh daripada orang kira. Diketahui, saat seseorang terinfeksi kemudian batuk, maka akan menyebarkan virus ke sekitarnya sampai jarak 2 meter.","""Virus juga dapat menginfeksi sampai kurang lebih 24 jam. Namun dapat bertahan sampai beberapa hari di atas permukaan benda-benda di sekitar kita,"" jelasnya.","Karena itu, bagi orang yang sedang sakit batuk, jangan sembarangan untuk meminimalisir penyebaran virus. Ada etika batuk yang perlu diperhatikan. Pertama, jangan letakkan tangan di mulut ketika batuk karena virus akan lebih mudah menyebar. Baiknya, selalu sediakan tisu atau sapu tangan jika sedang batuk.","Tisu akan lebih higienis karena sifatnya yang sekali pakai-buang, jika tidak ada tisu batuklah ke arah lengan baju sendiri. Namun jika tidak sadar pakai tangan, segera cuci tangan atau bersihkan menggunakan hand sanitizer.","Kedua, jika situasinya Anda sedang bertemu dengan seseorang atau sedang rapat, balikkan badan sedikit jika akan batuk. Bisa juga dengan memundurkan kursi atau berjalan mundur selangkah agar mereka tidak merasa terganggu dan takut tertular virus. Selain itu, penderita batuk juga bisa menggunakan masker untuk mencegah penularan.","Bagi orang sehat, untuk mencegah penularan virus tersebut haruslah memperkuat sistem kekebalan tubuh dan ikuti tindakan pencegahan kontak dasar. Selain itu, kualitas makan juga mempengaruhi daya tahan tubuh yang kuat untuk dapat mencegah diri dari penularan penyakit.","""Untuk orang sehat, tetap jaga pola hidup sehat, sering mencuci tangan dan gunakan masker terutama di area publik,"" pesannya.","Sementara bagi penderita, dr Helmin menyarankan agar segera minum obat dan gunakan masker untuk mencegah penularan. Selain itu, atasi segera dengan obat batuk tapi pastikan kenali dahulu jenis batuknya agar obat yang dipilih cocok dengan gejala yang muncul.","Jika obatnya tepat, batuk pun bisa mereda lebih cepat. Jika batuk berdahak, Anda bisa pilih Woods Expectoran. Sedangkan jika tidak berdahak pilih obat batuk Woods Antitusive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 30 Jan 2020 19:32 WIB","Ibu Jari Tangan Pria Ini Putus, Dokter Menukarnya dengan Jempol Kaki",https://health.detik.com/berita-detikhealth/d-4879789/ibu-jari-tangan-pria-ini-putus-dokter-menukarnya-dengan-jempol-kaki,Seorang pria yang berprofesi sebagai tukang sepatu asal Inggris secara tak sengaja melukai ,"nya saat memperbaiki sepatu. Tak seperti biasanya, kali ini David Lee, sangat terpuruk karena ibu jarinya terpotong dan tak bersisa.","""Aku tahu itu sangat buruk dan aku sangat khawatir tak bisa memperbaiki sepatu lagi. Aku tidak berhenti menangis memikirkan nanti aku kehilangan pekerjaanku,"" kata Lee, dilansir dari Medical Daily.","Selang beberapa lama, ia kemudian di rujuk ke Rumah Sakit Royal Derby, Inggris, saat ia mengetahui ada secercah harapan karena ia masih dapat mengganti ibu jarinya asal bersedia merelakan ","nya dalam operasi yang disebut ""toe-to-tumb reconstruction"".","""Ada banyak cara untuk merekonstruksi ibu jari, tapi menggunakan jempol kaki memberikan manfaat fungsional dan kosmetik terbaik,"" jelas Jill Arrowsmith, salah satu ahli bedah yang menangani Lee.","Biasanya prosedur ini ditawarkan hanya kepada mereka yang kehilangan sebagian ibu jari, terutama jika kerusakannya hingga ke buku jari.","Dalam laporan yang dirilis pada tahun 2010 dalam Journal of Hand and Microsurgery, jari kaki berfungsi sebagai pengganti paling sempurna untuk jari tangan karena memiliki struktur dan rentang gerakan yang sama. Jari kaki juga memiliki kulit dan kuku yang sama untuk menjepit, seperti halnya jari tangan.",Lee kemudian menjalani prosedur tersebut dan operasi memakan waktu kurang lebih 10 jam.,"""Sekarang, setahun kemudian, aku kembali bekerja dan melakukan apa yang aku sukai,"" kenang Lee, menjelaskan bahwa ia kehilangan ibu jari tangannya pada Januari 2019 lalu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selasa, 25 Feb 2020 07:41 WIB",Dokter: Hipertensi Tak Bisa Disembuhkan,https://health.detik.com/berita-detikhealth/d-4912931/dokter-hipertensi-tak-bisa-disembuhkan,"Sering disebut sebagai silent killer, "," menjadi penyebab kematian kelima di Indonesia. Menurut Riset Kesehatan Dasar (Riskesdas) tahun 2018, sekitar 34,1 persen masyarakat Indonesia mengidap penyakit ini.","Sayangnya sebagian orang masih menganggap enteng hipertensi, lantaran penyakit ini tidak menimbulkan gejala. Padahal jika dibiarkan hipertensi dapat memicu berbagai macam penyakit seperti jantung, stroke, dan gagal ginjal.",Wakil Ketua 1 Perhimpunan ," Hipertensi Indonesia, dr Erwinanto, SpJP(K), FIHA, mengatakan bahwa seseorang yang mengalami hipertensi tidak akan bisa disembuhkan.","""Minum obatnya pun harus seumur hidup, karena hipertensi itu tidak bisa disembuhkan, tetapi dikontrol,"" kata dr Erwinanto di Seribu Rasa Menteng, Jakarta Pusat, Senin (24/2/2020).","dr Erwinanto juga menyayangkan masih banyak orang yang berhenti meminum obat, lantaran merasa tekanan darahnya sudah normal.","""Begitu tekanan darahnya normal, dia bilang 'saya sembuh', besoknya ",","" jelasnya.","""Karena dia tidak tahu kalau hipertensi itu dikontrol, obatnya diberhentikan terus tekanan darahnya naik lagi,"" pungkasnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senin, 02 Mar 2020 14:20 WIB",Cegah Virus dan Bakteri Bisa Dimulai dari Kebersihan Dapur,https://health.detik.com/berita-detikhealth/d-4921815/cegah-virus-dan-bakteri-bisa-dimulai-dari-kebersihan-dapur?tag_from=news_beritaTerkait,"Dapur merupakan salah satu area rumah yang paling rentan menjadi tempat bersarangnya kuman. Banyaknya aktivitas di tempat ini kadang membuat kita kurang memperhatikan kebersihan dan higienitasnya. Kebersihan dapur tentu akan menentukan kualitas makanan yang disajikan menjadi lebih aman dan sehat, sehingga dapat membantu mengurangi risiko penyebaran virus.","Menurut Dosen Teknologi Pangan di Indonesia International Institute for Life-Sciences (i3L), Muhamad Abdurrahman Mas, menjaga kebersihan diri dan dapur, serta memasak makanan jadi salah satu cara untuk meminimalisir penyebaran virus. Ada beberapa cara mengatur dapur agar terbebas dari risiko penyebaran virus, meskipun memang setiap penyakit memiliki cara penyebaran yang berbeda-beda.","Pertama, makanan itu sendiri dapat menjadi salah satu perantara penyebaran beberapa penyakit (tetapi tidak semua). Selain itu, peralatan makan yang digunakan oleh orang sakit harus dipastikan bersih sebelum digunakan lagi untuk meminimalisir penyebaran penyakit.","""Terdapat 4 faktor di dapur yang dapat menyebabkan seseorang sakit yakni makanan, peralatan dapur, lingkungan dapur dan orang yang berada di dapur. Salah satu maupun semua faktor tersebut dapat menyebabkan penyakit, bergantung pada jenis penyakitnya. Penyebaran penyakit dapat dicegah salah satunya dengan cara memperhatikan kebersihan diri sendiri dan kebersihan WC/ kamar mandi terutama di area dekat dengan dapur,"" jelas Muhamad kepada detikHealth, Senin (2/3/2020). ","Kemudian, untuk menjaga dapur tetap bersih dan terbebas dari penyebaran penyakit, hal lain yang harus diperhatikan adalah makanan mentah. Jangan sampai makanan mentah disimpan di tempat yang sama dengan makanan yang matang, begitu pula dengan daging mentah tidak seharusnya disimpan di tempat yang sama dengan sayuran.","""Letak dapur juga seharusnya jauh dari kamar mandi dan tempat pembuangan sampah karena tempat tersebut bisa menjadi sumber bakteri, virus serta binatang seperti tikus atau kecoa yang dapat dengan mudah berkeliaran di antara tempat pembuangan sampah dan dapur,"" jelasnya.","Selain itu, masih banyak hal-hal yang perlu diatur dari berbagai aspek yang menyangkut dengan dapur. Jika Anda ingin membuat dapur bersih dan tentunya akan terasa nyaman, coba ikuti workshop tentang Kitchen Management & Operation. Workshop yang digelar oleh di kampus i3L di Pulomas Barat Kav. 88 Jakarta yang akan berlangsung pada Rabu (4/3/2020). Akan ada narasumber profesional, baik kalangan chef, akademisi, hingga manajemen hotel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senin, 03 Feb 2020 20:06 WIB",Perlu Tahu! Ini Durasi Tidur Ideal Berdasarkan Usia,https://health.detik.com/berita-detikhealth/d-4884400/perlu-tahu-ini-durasi-tidur-ideal-berdasarkan-usia,"Selain makan sehat dan berolahraga, "," juga sangat mendukung tubuh agar sehat serta bugar setiap harinya. Tidur dengan waktu yang cukup sangat dibutuhkan agar menurunkan risiko masalah kesehatan, seperti penyakit jantung dan diabetes.","Tidur sangat diperlukan untuk menunjang konsentrasi, kreativitas, meningkatkan suasana hati, serta mengurangi stres. Salah satu pakar tidur, Rob mengatakan ada 16 juta orang yang tidak bisa tidur karena ",.,"Menurut Rob, sepertiga dari hidup seseorang adalah tidur. Untuk memenuhinya, jumlah waktu yang dibutuhkan tidaklah sama. Perbedaan "," bisa disesuaikan dengan usia, jenis kelamin, kondisi kesehatan, dan faktor lainnya.",Dikutip dari ,", berikut ini jumlah waktu tidur yang dibutuhkan sesuai dengan usianya.","1. Bayi : Saat bayi, seseorang membutuhkan waktu sebanyak 11 jam untuk tidur di malam hari. Selain malam, pada siang hari butuh waktu sekitar 2 jam untuk tidur di siang hari.","2. Anak-anak : Anak-anak hingga usia 12 tahun juga masih membutuhkan banyak waktu tidur. Pada usia ini, mereka membutuhkan waktu antara 9 hingga 11 jam saat malam hari dalam sehari.","3. Remaja : Untuk para generasi yang suka begadang malam, coba mulai dikurangi. Karena dalam sehari, di usia seperti ini butuh tidur yang berkualitas hingga 9 jam per malam. Baru bisa konsentrasi dan nggak gampang stres.","4. Dewasa : Pada usia dewasa, 20 tahun waktu tidur yang baik juga masih antara 7-9 jam per hari. Hal ini dapat meningkatkan konsentrasi dan kebugaran tubuh saat beraktivitas setiap hari.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
